"","police_dist","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"106","15","2015","no",2139,519,0,49,262,208
"107","15","2015","yes",82,90,0,26,46,18
"108","15","2016","no",2418,517,1,46,285,186
"109","15","2016","yes",87,86,1,8,40,38
"110","15","2017","no",2716,643,3,60,336,247
"111","15","2017","yes",109,110,3,23,70,17
"112","16","2009","no",6162,1181,5,136,490,555
"113","16","2009","yes",208,204,2,35,85,84
"114","16","2010","no",5877,1170,9,112,510,548
"115","16","2010","yes",202,202,1,25,103,74
"116","16","2011","no",5525,1006,5,113,456,437
"117","16","2011","yes",172,166,2,24,80,62
"118","16","2012","no",5790,1022,5,108,456,458
"119","16","2012","yes",189,185,2,19,97,69
"120","16","2013","no",6165,1042,4,116,493,433
"121","16","2013","yes",201,195,2,26,115,54
"122","16","2014","no",6336,1072,6,116,530,426
"123","16","2014","yes",175,161,2,22,94,45
"124","16","2015","no",6703,1057,6,142,493,422
"125","16","2015","yes",222,214,2,42,118,54
"126","16","2016","no",6989,1029,6,145,450,434
"127","16","2016","yes",190,183,3,22,72,89
"128","16","2017","no",7006,1084,4,118,514,452
"129","16","2017","yes",173,168,2,33,77,58
"130","16",NA,"no",1,0,0,0,0,0
"131","17","2009","no",4659,652,4,70,307,275
"132","17","2009","yes",204,207,0,27,84,96
"133","17","2010","no",4689,722,2,69,369,284
"134","17","2010","yes",228,231,1,32,122,77
"135","17","2011","no",4661,679,1,67,340,272
"136","17","2011","yes",212,214,1,26,121,67
"137","17","2012","no",4676,716,2,76,348,292
"138","17","2012","yes",235,231,0,24,133,74
"139","17","2013","no",4686,661,4,63,318,280
"140","17","2013","yes",235,224,0,24,141,59
"141","17","2014","no",4705,633,1,61,305,267
"142","17","2014","yes",221,213,1,26,134,53
"143","17","2015","no",4965,718,0,89,334,295
"144","17","2015","yes",204,196,3,29,108,59
"145","17","2016","no",5410,610,2,70,286,254
"146","17","2016","yes",228,224,3,24,91,109
"147","17","2017","no",5013,751,3,71,379,301
"148","17","2017","yes",199,195,1,20,123,52
"149","17",NA,"no",1,0,0,0,0,0
"150","18","2009","no",3529,624,2,71,280,273
"151","18","2009","yes",361,365,1,50,167,148
"152","18","2010","no",3446,566,0,51,256,259
"153","18","2010","yes",326,327,0,35,177,115
"154","18","2011","no",3489,501,2,35,224,242
"155","18","2011","yes",354,361,2,48,186,127
"156","18","2012","no",3195,504,0,36,239,229
"157","18","2012","yes",330,326,2,37,173,116
"158","18","2013","no",3246,469,1,52,209,208
"159","18","2013","yes",379,364,2,38,203,123
"160","18","2014","no",3646,544,2,74,222,248
"161","18","2014","yes",382,367,1,52,200,115
"162","18","2015","no",4120,573,2,61,254,258
"163","18","2015","yes",400,393,0,65,217,111
"164","18","2016","no",4546,580,0,41,263,276
"165","18","2016","yes",428,409,6,44,205,160
"166","18","2017","no",4598,712,3,86,342,284
"167","18","2017","yes",364,369,0,53,215,101
"168","18",NA,"no",1,0,0,0,0,0
"169","19","2009","no",4251,614,4,78,244,292
"170","19","2009","yes",362,361,3,50,152,159
"171","19","2010","no",4032,603,3,50,233,320
"172","19","2010","yes",390,387,2,39,194,154
"173","19","2011","no",3938,560,1,61,222,277
"174","19","2011","yes",353,351,2,46,178,127
"175","19","2012","no",3726,531,4,65,219,247
"176","19","2012","yes",373,366,1,58,169,139
"177","19","2013","no",3969,568,3,81,246,241
"178","19","2013","yes",397,368,3,38,221,109
"179","19","2014","no",3987,494,0,48,214,232
"180","19","2014","yes",339,323,0,33,199,91
"181","19","2015","no",4061,548,0,76,224,248
"182","19","2015","yes",363,348,3,41,204,103
"183","19","2016","no",4222,494,2,53,242,199
"184","19","2016","yes",359,355,2,43,167,145
"185","19","2017","no",3766,582,1,57,257,268
"186","19","2017","yes",292,296,2,51,179,66
"187","19",NA,"no",5,0,0,0,0,0
"188","2","2009","no",2006,577,4,68,304,205
"189","2","2009","yes",153,157,0,27,76,54
"190","2","2010","no",1951,604,5,50,306,248
"191","2","2010","yes",130,129,1,18,76,35
"192","2","2011","no",1913,577,1,64,287,226
"193","2","2011","yes",118,117,3,16,55,46
"194","2","2012","no",1773,580,3,56,279,245
"195","2","2012","yes",125,128,0,17,74,37
"196","2","2013","no",1750,490,5,58,254,178
"197","2","2013","yes",137,136,2,15,81,40
"198","2","2014","no",2091,530,2,62,261,207
"199","2","2014","yes",115,116,1,20,65,31
"200","2","2015","no",2475,670,2,84,333,253
"201","2","2015","yes",130,132,0,18,82,32
"202","2","2016","no",2851,744,2,69,372,303
"203","2","2016","yes",127,125,0,26,45,54
"204","2","2017","no",2910,806,4,58,429,319
"205","2","2017","yes",132,128,1,19,86,23
"206","20","2009","no",1941,294,0,20,138,136
"207","20","2009","yes",131,134,1,16,58,60
"208","20","2010","no",1925,335,2,27,153,155
"209","20","2010","yes",126,122,0,16,61,45
"210","20","2011","no",1730,281,0,22,129,130
"211","20","2011","yes",132,130,2,12,72,46
"212","20","2012","no",1881,288,2,25,124,139
"213","20","2012","yes",133,127,2,11,86,30
"214","20","2013","no",1846,291,1,30,122,139
"215","20","2013","yes",148,137,0,13,85,39
"216","20","2014","no",1795,255,1,20,127,108
"217","20","2014","yes",130,127,1,6,88,33
"218","20","2015","no",1854,305,2,28,110,167
"219","20","2015","yes",140,133,0,23,81,29
