"","tract","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"217","17031010600","2016","PEDESTRIAN",10,9,1,1,6,2
"218","17031010600","2016","Vehicle/Other",68,7,0,0,6,1
"219","17031010600","2017","PEDALCYCLIST",5,5,0,0,3,2
"220","17031010600","2017","PEDESTRIAN",2,2,0,0,2,0
"221","17031010600","2017","Vehicle/Other",64,3,0,0,3,0
"222","17031010701","2009","PEDALCYCLIST",2,0,0,0,0,0
"223","17031010701","2009","PEDESTRIAN",3,3,0,1,1,1
"224","17031010701","2009","Vehicle/Other",109,17,0,0,13,4
"225","17031010701","2010","PEDALCYCLIST",2,2,0,0,1,1
"226","17031010701","2010","PEDESTRIAN",1,1,0,0,0,1
"227","17031010701","2010","Vehicle/Other",90,11,0,0,7,4
"228","17031010701","2011","PEDALCYCLIST",1,1,0,0,1,0
"229","17031010701","2011","PEDESTRIAN",5,5,0,0,3,2
"230","17031010701","2011","Vehicle/Other",92,14,0,0,5,9
"231","17031010701","2012","PEDALCYCLIST",1,1,0,0,1,0
"232","17031010701","2012","PEDESTRIAN",3,3,0,0,2,1
"233","17031010701","2012","Vehicle/Other",85,13,0,2,7,4
"234","17031010701","2013","PEDALCYCLIST",2,1,0,0,1,0
"235","17031010701","2013","Vehicle/Other",100,13,0,2,7,4
"236","17031010701","2014","PEDALCYCLIST",4,4,0,0,3,1
"237","17031010701","2014","PEDESTRIAN",4,4,0,1,3,0
"238","17031010701","2014","Vehicle/Other",75,5,0,2,0,3
"239","17031010701","2015","PEDALCYCLIST",4,4,0,0,3,1
"240","17031010701","2015","PEDESTRIAN",1,1,0,0,1,0
"241","17031010701","2015","Vehicle/Other",85,10,0,0,4,6
"242","17031010701","2016","PEDALCYCLIST",1,2,0,0,1,1
"243","17031010701","2016","PEDESTRIAN",2,2,0,1,0,1
"244","17031010701","2016","Vehicle/Other",74,11,0,1,8,2
"245","17031010701","2017","PEDALCYCLIST",2,2,0,0,1,1
"246","17031010701","2017","PEDESTRIAN",1,1,0,0,0,1
"247","17031010701","2017","Vehicle/Other",75,8,0,2,5,1
"248","17031010702","2009","PEDALCYCLIST",1,1,0,0,1,0
"249","17031010702","2009","PEDESTRIAN",2,2,0,0,2,0
"250","17031010702","2009","Vehicle/Other",66,8,0,2,4,2
"251","17031010702","2010","PEDALCYCLIST",3,4,0,0,3,1
"252","17031010702","2010","PEDESTRIAN",3,3,0,0,2,1
"253","17031010702","2010","Vehicle/Other",95,10,0,0,5,5
