"","tract","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"334","17031030800","2018","Vehicle/Other",98,9,0,4,1,4
"335","17031030800","2019","PEDALCYCLIST",4,3,0,1,2,0
"336","17031030800","2019","PEDESTRIAN",7,7,0,3,4,0
"337","17031030800","2019","Vehicle/Other",95,7,0,0,3,4
"338","17031030800","2020","PEDESTRIAN",3,4,0,1,3,0
"339","17031030800","2020","Vehicle/Other",80,10,0,3,0,7
"340","17031030900","2018","PEDALCYCLIST",1,1,0,0,1,0
"341","17031030900","2018","PEDESTRIAN",5,6,0,3,2,1
"342","17031030900","2018","Vehicle/Other",119,13,0,0,5,8
"343","17031030900","2019","PEDALCYCLIST",6,4,0,2,1,1
"344","17031030900","2019","PEDESTRIAN",4,3,0,3,0,0
"345","17031030900","2019","Vehicle/Other",121,22,0,3,12,7
"346","17031030900","2020","PEDALCYCLIST",1,2,0,1,0,1
"347","17031030900","2020","PEDESTRIAN",4,3,0,1,2,0
"348","17031030900","2020","Vehicle/Other",67,3,0,0,1,2
"349","17031031000","2018","PEDALCYCLIST",9,7,0,0,5,2
"350","17031031000","2018","PEDESTRIAN",2,2,0,0,2,0
"351","17031031000","2018","Vehicle/Other",129,23,1,0,11,11
"352","17031031000","2019","PEDALCYCLIST",7,6,0,1,4,1
"353","17031031000","2019","PEDESTRIAN",6,8,0,0,5,3
"354","17031031000","2019","Vehicle/Other",132,15,0,1,8,6
"355","17031031000","2020","PEDALCYCLIST",3,3,0,0,1,2
"356","17031031000","2020","PEDESTRIAN",3,3,0,0,3,0
"357","17031031000","2020","Vehicle/Other",66,11,0,2,4,5
"358","17031031100","2018","PEDALCYCLIST",7,5,0,1,4,0
"359","17031031100","2018","PEDESTRIAN",4,4,0,2,1,1
"360","17031031100","2018","Vehicle/Other",124,9,0,0,6,3
"361","17031031100","2019","PEDALCYCLIST",8,4,0,1,2,1
"362","17031031100","2019","PEDESTRIAN",4,3,0,0,3,0
"363","17031031100","2019","Vehicle/Other",124,11,0,0,6,5
"364","17031031100","2020","PEDALCYCLIST",4,3,0,0,3,0
"365","17031031100","2020","PEDESTRIAN",2,2,0,0,2,0
"366","17031031100","2020","Vehicle/Other",85,6,0,0,3,3
"367","17031031200","2018","PEDALCYCLIST",4,2,0,0,1,1
"368","17031031200","2018","PEDESTRIAN",8,7,0,2,5,0
"369","17031031200","2018","Vehicle/Other",134,11,0,0,6,5
"370","17031031200","2019","PEDALCYCLIST",3,2,0,0,1,1
"371","17031031200","2019","PEDESTRIAN",2,3,0,0,3,0
"372","17031031200","2019","Vehicle/Other",146,4,0,0,1,3
"373","17031031200","2020","PEDESTRIAN",5,3,0,1,1,1
"374","17031031200","2020","Vehicle/Other",100,9,0,0,8,1
"375","17031031300","2018","PEDALCYCLIST",7,5,0,1,4,0
"376","17031031300","2018","PEDESTRIAN",3,2,0,0,1,1
"377","17031031300","2018","Vehicle/Other",122,13,0,2,5,6
"378","17031031300","2019","PEDALCYCLIST",4,3,0,0,3,0
"379","17031031300","2019","PEDESTRIAN",1,1,0,0,1,0
"380","17031031300","2019","Vehicle/Other",120,16,0,0,11,5
"381","17031031300","2020","PEDALCYCLIST",2,1,0,0,1,0
"382","17031031300","2020","PEDESTRIAN",2,3,1,0,0,2
"383","17031031300","2020","Vehicle/Other",65,9,0,2,4,3
"384","17031031400","2018","PEDALCYCLIST",8,5,0,0,5,0
"385","17031031400","2018","PEDESTRIAN",6,6,0,3,1,2
"386","17031031400","2018","Vehicle/Other",287,35,0,1,17,17
"387","17031031400","2019","PEDALCYCLIST",5,5,0,1,3,1
"388","17031031400","2019","PEDESTRIAN",4,4,1,1,2,0
"389","17031031400","2019","Vehicle/Other",271,33,0,5,14,14
"390","17031031400","2020","PEDALCYCLIST",5,2,0,0,2,0
"391","17031031400","2020","Vehicle/Other",129,40,0,5,27,8
"392","17031031501","2018","PEDALCYCLIST",2,2,0,1,1,0
"393","17031031501","2018","PEDESTRIAN",3,4,0,0,2,2
"394","17031031501","2018","Vehicle/Other",53,4,0,0,2,2
"395","17031031501","2019","PEDALCYCLIST",1,1,0,0,0,1
"396","17031031501","2019","PEDESTRIAN",3,3,0,0,3,0
"397","17031031501","2019","Vehicle/Other",50,6,0,0,6,0
"398","17031031501","2020","PEDALCYCLIST",2,1,0,0,1,0
"399","17031031501","2020","PEDESTRIAN",2,2,0,0,2,0
"400","17031031501","2020","Vehicle/Other",33,3,0,0,1,2
"401","17031031502","2018","PEDALCYCLIST",3,2,0,0,2,0
"402","17031031502","2018","PEDESTRIAN",3,3,0,2,0,1
"403","17031031502","2018","Vehicle/Other",52,3,0,0,0,3
"404","17031031502","2019","PEDALCYCLIST",3,1,0,0,1,0
"405","17031031502","2019","PEDESTRIAN",1,1,0,0,1,0
"406","17031031502","2019","Vehicle/Other",71,6,0,0,3,3
"407","17031031502","2020","PEDALCYCLIST",3,2,0,0,2,0
"408","17031031502","2020","PEDESTRIAN",1,1,0,0,1,0
"409","17031031502","2020","Vehicle/Other",45,3,0,0,1,2
"410","17031031700","2018","PEDALCYCLIST",7,3,0,0,2,1
"411","17031031700","2018","PEDESTRIAN",2,2,0,0,2,0
"412","17031031700","2018","Vehicle/Other",83,9,0,0,8,1
"413","17031031700","2019","PEDALCYCLIST",1,1,0,0,1,0
"414","17031031700","2019","PEDESTRIAN",7,5,0,1,3,1
"415","17031031700","2019","Vehicle/Other",94,16,0,0,4,12
"416","17031031700","2020","PEDALCYCLIST",6,6,0,1,3,2
