"","commarea","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"242","GARFIELD RIDGE","2018","PEDESTRIAN",35,32,1,7,17,7
"243","GARFIELD RIDGE","2018","Vehicle/Other",1657,253,1,24,136,92
"244","GARFIELD RIDGE","2019","PEDALCYCLIST",12,6,0,1,3,2
"245","GARFIELD RIDGE","2019","PEDESTRIAN",30,23,0,4,13,6
"246","GARFIELD RIDGE","2019","Vehicle/Other",1560,174,0,11,104,59
"247","GARFIELD RIDGE","2020","PEDALCYCLIST",10,6,0,0,4,2
"248","GARFIELD RIDGE","2020","PEDESTRIAN",21,20,0,4,14,2
"249","GARFIELD RIDGE","2020","Vehicle/Other",1187,168,1,27,81,59
"250","GRAND BOULEVARD","2018","PEDALCYCLIST",5,2,0,0,2,0
"251","GRAND BOULEVARD","2018","PEDESTRIAN",36,29,0,8,14,7
"252","GRAND BOULEVARD","2018","Vehicle/Other",935,312,0,36,179,97
"253","GRAND BOULEVARD","2019","PEDALCYCLIST",10,8,0,1,5,2
"254","GRAND BOULEVARD","2019","PEDESTRIAN",29,24,0,8,12,4
"255","GRAND BOULEVARD","2019","Vehicle/Other",868,223,2,20,132,69
"256","GRAND BOULEVARD","2020","PEDALCYCLIST",12,10,0,2,7,1
"257","GRAND BOULEVARD","2020","PEDESTRIAN",23,24,1,5,12,6
"258","GRAND BOULEVARD","2020","Vehicle/Other",921,288,0,20,178,90
"259","GREATER GRAND CROSSING","2018","PEDALCYCLIST",13,9,0,2,7,0
"260","GREATER GRAND CROSSING","2018","PEDESTRIAN",50,48,2,5,27,14
"261","GREATER GRAND CROSSING","2018","Vehicle/Other",2107,549,3,46,301,199
"262","GREATER GRAND CROSSING","2019","PEDALCYCLIST",12,10,0,1,8,1
"263","GREATER GRAND CROSSING","2019","PEDESTRIAN",56,52,0,9,35,8
"264","GREATER GRAND CROSSING","2019","Vehicle/Other",2217,592,0,47,334,211
