"","commarea","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"285","CHICAGO LAWN","2016","yes",31,30,3,3,15,12
"286","CHICAGO LAWN","2017","no",1119,170,0,26,93,51
"287","CHICAGO LAWN","2017","yes",61,61,1,13,37,11
"288","CLEARING","2009","no",441,88,0,7,43,38
"289","CLEARING","2009","yes",12,10,1,1,4,5
"290","CLEARING","2010","no",445,88,0,6,26,56
"291","CLEARING","2010","yes",16,15,1,2,9,4
"292","CLEARING","2011","no",435,74,1,3,29,42
"293","CLEARING","2011","yes",12,12,0,3,4,5
"294","CLEARING","2012","no",426,85,1,9,52,24
"295","CLEARING","2012","yes",12,10,0,1,6,3
"296","CLEARING","2013","no",476,90,0,15,39,36
"297","CLEARING","2013","yes",20,17,1,3,11,3
"298","CLEARING","2014","no",448,71,0,10,32,29
"299","CLEARING","2014","yes",11,11,0,1,6,4
"300","CLEARING","2015","no",285,33,1,3,15,15
"301","CLEARING","2015","yes",6,6,0,1,5,0
"302","CLEARING","2016","no",304,57,1,5,31,21
"303","CLEARING","2016","yes",11,10,0,2,1,7
"304","CLEARING","2017","no",516,95,0,8,41,46
"305","CLEARING","2017","yes",14,14,0,2,11,1
"306","DOUGLAS","2009","no",361,107,0,14,56,37
"307","DOUGLAS","2009","yes",24,26,1,2,12,12
"308","DOUGLAS","2010","no",344,123,1,5,72,46
"309","DOUGLAS","2010","yes",13,13,0,3,7,3
"310","DOUGLAS","2011","no",319,84,1,7,36,41
"311","DOUGLAS","2011","yes",28,26,2,3,16,7
"312","DOUGLAS","2012","no",330,97,3,13,50,34
"313","DOUGLAS","2012","yes",28,27,0,3,18,6
"314","DOUGLAS","2013","no",272,48,1,2,16,30
"315","DOUGLAS","2013","yes",24,24,1,3,11,10
"316","DOUGLAS","2014","no",347,95,0,14,46,35
"317","DOUGLAS","2014","yes",37,38,0,5,27,6
"318","DOUGLAS","2015","no",270,56,0,7,28,21
"319","DOUGLAS","2015","yes",11,11,0,1,8,2
"320","DOUGLAS","2016","no",261,76,1,12,51,13
"321","DOUGLAS","2016","yes",10,10,0,1,5,4
"322","DOUGLAS","2017","no",409,86,0,6,41,39
"323","DOUGLAS","2017","yes",15,15,0,3,9,3
"324","DUNNING","2009","no",1136,211,0,29,68,114
"325","DUNNING","2009","yes",40,38,1,9,13,16
"326","DUNNING","2010","no",991,222,1,22,84,116
"327","DUNNING","2010","yes",51,51,1,7,22,22
"328","DUNNING","2011","no",911,185,0,25,85,75
"329","DUNNING","2011","yes",34,32,1,4,16,12
"330","DUNNING","2012","no",946,176,0,17,88,71
"331","DUNNING","2012","yes",33,35,0,7,19,9
"332","DUNNING","2013","no",1036,185,0,20,91,74
"333","DUNNING","2013","yes",34,32,0,3,19,10
"334","DUNNING","2014","no",1002,200,1,18,112,70
"335","DUNNING","2014","yes",29,28,0,3,19,6
"336","DUNNING","2015","no",701,115,0,11,43,61
"337","DUNNING","2015","yes",26,23,0,9,9,5
"338","DUNNING","2016","no",663,98,0,15,43,40
"339","DUNNING","2016","yes",24,23,0,4,8,11
"340","DUNNING","2017","no",798,143,0,13,56,74
"341","DUNNING","2017","yes",19,20,0,4,8,8
"342","EAST GARFIELD PARK","2009","no",975,353,2,42,196,115
"343","EAST GARFIELD PARK","2009","yes",62,64,1,11,26,27
"344","EAST GARFIELD PARK","2010","no",1024,366,1,44,192,130
"345","EAST GARFIELD PARK","2010","yes",52,53,0,6,32,15
"346","EAST GARFIELD PARK","2011","no",1001,295,2,22,170,103
"347","EAST GARFIELD PARK","2011","yes",58,59,1,11,26,22
"348","EAST GARFIELD PARK","2012","no",948,311,1,42,185,84
"349","EAST GARFIELD PARK","2012","yes",41,43,1,3,21,19
"350","EAST GARFIELD PARK","2013","no",966,293,0,34,159,100
"351","EAST GARFIELD PARK","2013","yes",47,44,0,6,21,17
"352","EAST GARFIELD PARK","2014","no",991,271,0,52,119,100
"353","EAST GARFIELD PARK","2014","yes",42,41,2,3,28,10
"354","EAST GARFIELD PARK","2015","no",751,192,0,44,94,54
"355","EAST GARFIELD PARK","2015","yes",25,24,0,4,16,4
"356","EAST GARFIELD PARK","2016","no",722,228,2,11,136,81
"357","EAST GARFIELD PARK","2016","yes",21,25,1,6,11,8
"358","EAST GARFIELD PARK","2017","no",1038,339,8,33,200,106
"359","EAST GARFIELD PARK","2017","yes",33,31,3,9,15,7
"360","EAST SIDE","2009","no",327,84,3,8,50,26
"361","EAST SIDE","2009","yes",18,18,1,3,11,4
"362","EAST SIDE","2010","no",336,89,0,13,54,22
"363","EAST SIDE","2010","yes",19,19,0,1,14,4
"364","EAST SIDE","2011","no",358,77,1,6,44,27
"365","EAST SIDE","2011","yes",22,20,0,0,14,6
"366","EAST SIDE","2012","no",348,91,1,6,48,37
"367","EAST SIDE","2012","yes",9,9,0,2,3,4
"368","EAST SIDE","2013","no",351,87,0,13,49,25
"369","EAST SIDE","2013","yes",12,12,0,1,7,4
"370","EAST SIDE","2014","no",377,83,0,5,47,31
"371","EAST SIDE","2014","yes",14,13,1,2,8,3
"372","EAST SIDE","2015","no",255,47,0,5,23,19
"373","EAST SIDE","2015","yes",14,15,0,2,10,3
"374","EAST SIDE","2016","no",233,55,4,7,34,14
"375","EAST SIDE","2016","yes",12,11,0,1,5,5
"376","EAST SIDE","2017","no",291,51,0,9,29,13
"377","EAST SIDE","2017","yes",4,4,0,0,3,1
"378","EDGEWATER","2009","no",1026,145,0,19,61,65
"379","EDGEWATER","2009","yes",78,81,0,9,44,28
"380","EDGEWATER","2010","no",990,160,0,11,66,83
"381","EDGEWATER","2010","yes",74,71,0,12,33,26
"382","EDGEWATER","2011","no",910,161,0,14,84,63
"383","EDGEWATER","2011","yes",83,85,1,7,48,30
"384","EDGEWATER","2012","no",990,153,0,11,65,77
"385","EDGEWATER","2012","yes",91,85,0,4,60,21
"386","EDGEWATER","2013","no",968,144,0,12,62,70
"387","EDGEWATER","2013","yes",89,82,0,10,47,25
"388","EDGEWATER","2014","no",935,128,0,11,70,47
"389","EDGEWATER","2014","yes",73,74,1,4,51,19
"390","EDGEWATER","2015","no",607,94,1,12,35,47
"391","EDGEWATER","2015","yes",44,41,0,7,23,11
"392","EDGEWATER","2016","no",593,73,0,10,25,38
"393","EDGEWATER","2016","yes",51,51,0,5,27,19
"394","EDGEWATER","2017","no",936,139,1,7,83,49
"395","EDGEWATER","2017","yes",47,43,1,10,23,10
"396","EDISON PARK","2009","no",234,42,1,6,18,18
"397","EDISON PARK","2009","yes",5,5,0,1,1,3
"398","EDISON PARK","2010","no",200,43,0,9,16,18
"399","EDISON PARK","2010","yes",10,9,0,1,7,1
"400","EDISON PARK","2011","no",208,25,0,4,8,13
"401","EDISON PARK","2011","yes",5,5,0,0,4,1
"402","EDISON PARK","2012","no",200,23,0,3,7,13
"403","EDISON PARK","2012","yes",6,6,0,2,4,0
"404","EDISON PARK","2013","no",190,13,0,1,5,7
"405","EDISON PARK","2013","yes",8,7,0,1,5,1
"406","EDISON PARK","2014","no",229,34,0,3,15,16
"407","EDISON PARK","2014","yes",5,5,0,1,3,1
"408","EDISON PARK","2015","no",152,24,0,3,12,9
"409","EDISON PARK","2015","yes",3,2,0,0,2,0
"410","EDISON PARK","2016","no",118,15,0,1,8,6
"411","EDISON PARK","2016","yes",3,2,0,0,2,0
"412","EDISON PARK","2017","no",202,34,0,3,19,12
"413","EDISON PARK","2017","yes",3,3,0,1,1,1
"414","ENGLEWOOD","2009","no",1223,408,3,44,225,139
