"","commarea","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"1359","WEST TOWN","2013","yes",234,223,0,34,136,53
"1360","WEST TOWN","2014","no",2971,504,5,48,281,175
"1361","WEST TOWN","2014","yes",247,231,5,31,137,63
"1362","WEST TOWN","2015","no",2335,363,4,47,189,127
"1363","WEST TOWN","2015","yes",131,130,0,18,72,40
"1364","WEST TOWN","2016","no",2127,349,0,29,189,131
"1365","WEST TOWN","2016","yes",135,135,1,13,63,59
"1366","WEST TOWN","2017","no",3076,472,2,33,251,188
"1367","WEST TOWN","2017","yes",156,148,3,21,87,40
"1368","WOODLAWN","2009","no",545,226,2,21,72,133
"1369","WOODLAWN","2009","yes",46,49,0,3,18,28
"1370","WOODLAWN","2010","no",539,204,0,10,80,114
"1371","WOODLAWN","2010","yes",31,37,0,4,22,11
"1372","WOODLAWN","2011","no",495,155,0,10,87,58
"1373","WOODLAWN","2011","yes",42,41,1,2,27,12
"1374","WOODLAWN","2012","no",514,161,1,7,89,65
"1375","WOODLAWN","2012","yes",31,30,1,4,16,10
"1376","WOODLAWN","2013","no",542,173,3,6,97,70
"1377","WOODLAWN","2013","yes",24,22,0,3,11,8
"1378","WOODLAWN","2014","no",580,174,0,13,79,82
"1379","WOODLAWN","2014","yes",34,34,0,2,20,12
"1380","WOODLAWN","2015","no",402,98,2,12,43,43
"1381","WOODLAWN","2015","yes",13,12,1,2,8,2
"1382","WOODLAWN","2016","no",262,71,3,2,46,23
"1383","WOODLAWN","2016","yes",4,4,0,3,0,1
"1384","WOODLAWN","2017","no",671,211,0,32,115,64
"1385","WOODLAWN","2017","yes",25,27,0,7,12,8
"1386",NA,"2009","no",740,200,0,18,67,115
"1387",NA,"2009","yes",22,23,2,7,11,5
"1388",NA,"2010","no",906,244,2,19,104,121
"1389",NA,"2010","yes",24,24,0,5,13,6
"1390",NA,"2011","no",725,247,0,33,112,102
"1391",NA,"2011","yes",27,27,0,4,10,13
"1392",NA,"2012","no",784,219,1,22,85,112
"1393",NA,"2012","yes",23,24,1,6,13,5
"1394",NA,"2013","no",849,253,2,33,106,114
"1395",NA,"2013","yes",21,20,0,5,10,5
"1396",NA,"2014","no",808,246,0,15,118,113
"1397",NA,"2014","yes",31,30,0,6,16,8
"1398",NA,"2015","no",952,222,1,14,104,104
"1399",NA,"2015","yes",35,34,1,5,20,9
"1400",NA,"2016","no",1050,238,1,22,104,112
"1401",NA,"2016","yes",34,33,0,5,15,13
"1402",NA,"2017","no",696,198,1,15,90,93
"1403",NA,"2017","yes",26,24,2,5,14,5
